S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
2,05-07-21,1,67.0,0.19140068,-73.15442,-0.20898739,
2,28-01-21,2,212.44922,0.7023639,-30.350693,-0.09904374,
2,29-12-16,1,-9.298828,-0.051538613,-81.450035,-0.45143104,
2,29-06-20,2,-53.79883,-0.25295007,-224.34525,-1.0524464,
2,13-06-19,1,-111.70117,-0.36029962,-235.48697,-0.759577,
2,20-09-22,1,139.60156,0.33741987,-26.170654,-0.06325796,
2,03-06-16,1,26.951172,0.1524004,-43.840538,-0.24790053,
2,24-08-20,1,71.25,0.31591126,-19.107704,-0.0847193,
2,28-07-20,1,-70.90039,-0.32149488,-158.97198,-0.72085494,
2,22-04-20,3,25.101562,0.14032671,-207.46985,-1.0599484,
2,17-08-20,1,-69.89844,-0.3200302,-157.12344,-0.71938837,
2,12-10-20,1,-111.44922,-0.46224636,-207.66772,-0.8613229,
2,11-05-21,1,-100.05078,-0.30198815,-232.37347,-0.7013888,
2,11-05-20,1,-91.70117,-0.4671707,-170.03397,-0.86623245,
2,25-01-21,1,-113.80078,-0.36046273,-239.85619,-0.7597395,
2,09-09-19,1,97.09961,0.35494295,-12.520195,-0.045764543,
2,05-01-22,1,296.55078,0.8000463,147.69087,0.3984477,
2,01-03-23,1,22.800781,0.05629899,-139.24263,-0.34381253,
2,21-03-18,1,53.65039,0.22030436,-43.868317,-0.18013164,
2,01-03-16,1,159.0,1.1279196,102.295,0.7256632,
2,21-03-16,1,10.200195,0.06463081,-52.949207,-0.33549854,
2,20-09-19,2,826.9004,3.0315976,607.311,2.2255325,
2,29-12-20,1,129.14844,0.41453782,4.270935,0.013704249,
2,16-03-16,1,98.649414,0.6418142,36.970512,0.24052547,
2,08-10-18,1,-15.050781,-0.061118685,-113.52268,-0.46099952,
2,24-03-20,2,-191.39844,-1.0880651,-331.62125,-1.8858881,
2,08-04-22,1,-204.35156,-0.54114443,-354.99426,-0.94006693,
2,18-09-19,1,-98.5,-0.35977396,-207.81621,-0.7590552,
2,14-11-19,1,1.7988281,0.0058679665,-120.824974,-0.3941477,
2,14-11-18,1,-51.09961,-0.19707209,-154.71503,-0.5966773,
2,31-12-21,1,127.35156,0.3606472,-14.15094,-0.04007806,
2,08-04-20,1,-76.09961,-0.3978659,-152.4552,-0.79706955,
