Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
76,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,175,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
77,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,90,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
78,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,100,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
79,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,125,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
80,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
81,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,30,200,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
82,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
83,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,1,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
84,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,2,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
85,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,3,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
86,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,4,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
87,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,5,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
88,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,6,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
89,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,7,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
90,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
91,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
92,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
93,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
94,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
95,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
96,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
97,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
98,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
99,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
100,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
101,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
102,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,80,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
103,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,90,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
104,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,100,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
105,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,125,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
106,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
107,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,175,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
108,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,15,200,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
109,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
110,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,1,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
111,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,3,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
112,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,4,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
113,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,5,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
114,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,6,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
115,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,2,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
116,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,7,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
117,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
118,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
119,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
120,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,3,0,1000,20,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
