sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
57,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
58,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
59,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
60,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
61,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
62,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-30,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
63,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
64,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
65,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
66,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
67,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
68,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
69,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
70,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-30,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
71,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
72,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
73,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
74,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
75,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
76,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
77,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
78,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
79,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-30,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
80,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
81,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
82,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
83,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
84,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
85,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
86,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
87,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
88,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
89,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,30,-30,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
90,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
91,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
92,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
93,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
94,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
95,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
96,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
97,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
98,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
99,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,15,-40,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
100,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
101,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
102,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
103,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
104,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
105,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
106,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
107,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
108,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
109,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
110,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
111,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,20,-40,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
112,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
113,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
114,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
115,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
116,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
117,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
118,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
119,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0.5,1000,30,-40,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
