sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
27,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,381,468,2002.3984,-686.5508,2002.3984,-686.5508,233.16318,-99.24821,42.094017,37.17949,1.7077892,1.1594322,19036.88,65.02812,289.195,-108.82429,39.89501,1.7638962,5593.421,18.195574,34.90814,289.676,-132.79631,1.1698401,18.02564,0.82559764
28,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,371,452,2002.3984,-686.5508,2002.3984,-686.5508,231.56541,-99.82012,41.59292,36.725662,1.6519979,1.1218357,17181.785,58.68863,282.28952,-110.30072,39.892185,1.6985302,4185.909,13.459238,35.040432,281.68564,-134.5777,1.1290624,17.820797,0.62670106
29,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,373,455,2002.3984,-686.5508,2002.3984,-686.5508,228.46622,-99.72923,41.978024,36.703297,1.6574063,1.1222898,17308.53,59.383896,276.76917,-110.28655,40.482574,1.7069434,4202.4893,13.854159,35.120644,278.68088,-133.49052,1.1300889,17.835165,0.6609761
30,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,365,448,2002.3984,-686.5508,2002.3984,-686.5508,228.6795,-99.23678,41.964287,36.830357,1.6662459,1.1290733,17190.184,59.03273,278.5665,-110.77263,40.547947,1.7151355,4347.841,14.203198,35.34247,279.8499,-134.54575,1.136928,17.872768,0.66134197
32,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,364,441,2002.3984,-686.5508,2002.3984,-686.5508,226.38484,-98.5946,41.95011,36.961452,1.6593039,1.121738,16640.98,57.540474,273.60202,-108.65676,40.384613,1.7057686,4015.874,13.411696,35.43956,272.8532,-132.69017,1.1287874,17.696146,0.62448734
33,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,361,436,2002.3984,-686.5508,2002.3984,-686.5508,228.2448,-98.18979,41.972477,37.15596,1.681377,1.1351928,16926.781,59.21702,275.3798,-108.27287,40.443214,1.7271371,4397.325,15.5874195,35.734074,272.8532,-132.76181,1.142767,17.759174,0.79426014
34,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,357,432,2002.3984,-686.5508,2002.3984,-686.5508,228.81297,-97.23931,41.898148,37.037037,1.6968507,1.1438351,17008.082,59.259705,276.7486,-107.24749,40.336136,1.7445412,4605.829,16.030088,35.57423,274.81787,-131.72192,1.1520275,17.789352,0.81681645
35,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,356,431,2002.3984,-686.5508,2002.3984,-686.5508,228.81297,-97.16066,41.995358,37.12297,1.7050169,1.1490858,17124.984,59.65629,276.7486,-107.201965,40.449436,1.7535142,4752.1475,16.526468,35.674156,274.81787,-131.65817,1.1576182,17.821346,0.8421096
31,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,365,442,2002.3984,-686.5508,2002.3984,-686.5508,228.59187,-98.667366,41.855206,36.87783,1.6677306,1.1288735,16931.982,58.806236,276.37958,-108.696396,40.27397,1.7145559,4271.0225,14.576835,35.34247,276.01993,-132.77773,1.1362998,17.816742,0.67873955
36,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,354,426,2002.3984,-686.5508,2002.3984,-686.5508,226.5134,-97.37456,42.01878,37.089203,1.685794,1.1350958,16494.383,57.0875,273.693,-107.316185,40.39548,1.728431,4262.116,14.458957,35.59322,271.79196,-131.50734,1.1421478,17.753521,0.7367591
37,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,346,418,2002.3984,-686.5508,2002.3984,-686.5508,227.29944,-97.79162,41.866028,36.842106,1.6738961,1.1281285,16014.039,55.318993,276.0403,-107.99789,40.173412,1.7163337,3991.6396,13.491348,35.260117,275.2448,-132.0903,1.1349063,17.732058,0.69190943
38,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,334,400,2002.3984,-686.5508,2002.3984,-686.5508,220.88246,-98.22897,41.25,36.5,1.5788385,1.063177,13361.798,48.293617,263.62408,-107.96123,39.82036,1.6157451,1907.9658,8.26947,35.029938,261.2595,-132.07094,1.0665737,17.63,0.4161743
39,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,30,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,308,370,2002.3984,-686.5508,2002.3984,-686.5508,229.64467,-100.488884,40.54054,36.216217,1.5581415,1.0582271,12339.1455,45.73078,278.363,-109.9791,38.636364,1.5936263,1678.7236,8.707907,34.090908,277.30402,-135.16353,1.061182,17.572973,0.49962667
40,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,92,94,1906.7988,-761.4512,1906.7988,-761.4512,269.9916,-122.8947,39.361702,34.042553,1.4260802,1.0295732,2984.6914,13.176502,285.4197,-122.8947,38.04348,1.4260805,261.34863,3.7699325,32.608696,303.29,-142.53793,1.0295732,18.861702,0.4658514
41,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,92,94,1906.7988,-761.4512,1906.7988,-761.4512,269.9916,-122.8947,39.361702,34.042553,1.4260802,1.0295732,2984.6914,13.176502,285.4197,-122.8947,38.04348,1.4260805,261.34863,3.7699325,32.608696,303.29,-142.53793,1.0295732,18.861702,0.4658514
42,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,92,94,1906.7988,-761.4512,1906.7988,-761.4512,269.9916,-122.8947,39.361702,34.042553,1.4260802,1.0295732,2984.6914,13.176502,285.4197,-122.8947,38.04348,1.4260805,261.34863,3.7699325,32.608696,303.29,-142.53793,1.0295732,18.861702,0.4658514
43,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,90,92,1906.7988,-761.4512,1906.7988,-761.4512,269.9916,-125.38359,40.217392,34.782608,1.4486004,1.0482601,3093.5918,13.651899,285.4197,-125.38359,38.88889,1.4486004,418.88965,4.4450912,33.333336,303.29,-144.66351,1.0482603,18.945652,0.5492808
44,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,87,89,1906.7988,-761.4512,1906.7988,-761.4512,276.32544,-127.47313,39.325844,34.831463,1.4050007,1.023873,2787.8418,12.892249,293.07245,-127.47313,37.931034,1.4050007,205.83691,3.985829,33.333336,304.416,-148.65907,1.023873,19.0,0.4544448
45,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,84,86,1906.7988,-761.4512,1906.7988,-761.4512,267.68005,-129.36133,38.372093,33.720932,1.2883967,0.9388089,1977.291,10.063222,284.94974,-129.36133,36.904762,1.2883968,-524.4912,1.4582204,32.142857,298.03165,-150.37448,0.9388087,18.569767,0.14322625
48,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,81,83,1906.7988,-761.4512,1906.7988,-761.4512,267.68005,-135.11801,39.759037,34.93976,1.3075151,0.96065176,2077.541,10.402738,284.94974,-135.11801,38.271606,1.3075153,-329.59863,2.0975678,33.333336,298.03165,-155.1195,0.9606519,18.60241,0.20959349
49,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,80,82,1906.7988,-761.4512,1906.7988,-761.4512,268.0404,-135.11801,39.024387,34.146343,1.2696,0.93302834,1821.3926,9.362932,285.90976,-135.11801,37.5,1.2696003,-560.98535,1.1582803,32.5,300.5949,-155.1195,0.9330283,18.512196,0.115737855
50,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,79,81,1906.7988,-761.4512,1906.7988,-761.4512,262.14328,-135.11801,38.271606,33.333336,1.202866,0.88351876,1370.541,8.107494,280.2221,-135.11801,36.708862,1.2028658,-975.7002,0.0034686476,31.645569,296.03012,-155.1195,0.88351864,18.25926,3.1073825E-4
46,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,84,86,1906.7988,-761.4512,1906.7988,-761.4512,267.68005,-129.36133,38.372093,33.720932,1.2883967,0.9388089,1977.291,10.063222,284.94974,-129.36133,36.904762,1.2883968,-524.4912,1.4582204,32.142857,298.03165,-150.37448,0.9388087,18.569767,0.14322625
47,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,83,85,1906.7988,-761.4512,1906.7988,-761.4512,267.68005,-130.85002,38.82353,34.11765,1.2982334,0.94739413,2029.2402,10.264971,284.94974,-130.85002,37.349396,1.2982334,-446.81738,1.7598723,32.53012,298.03165,-151.67271,0.9473941,18.588236,0.17285448
51,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,74,76,1906.7988,-761.4512,1906.7988,-761.4512,245.41177,-135.06378,38.157894,32.894737,1.1211317,0.8164547,768.94336,5.799141,263.59042,-135.06378,36.486485,1.1211315,-1448.4326,-1.8037277,31.081081,280.12988,-154.73372,0.8164549,18.144737,-0.16913278
52,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,70,72,1906.7988,-761.4512,1906.7988,-761.4512,257.32565,-139.12326,37.5,31.944445,1.1097742,0.8144655,687.2461,5.4290757,277.9117,-139.12326,35.714287,1.1097741,-1439.249,-1.7735974,30.000002,300.86017,-158.3125,0.8144656,18.194445,-0.16630751
53,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,80,81,1906.7988,-761.4512,1906.7988,-761.4512,286.46912,-125.27395,38.271606,34.5679,1.4177797,1.031371,2616.8457,11.372493,296.0181,-125.27395,37.5,1.4177797,245.91699,3.2668219,33.75,299.44174,-147.90584,1.031371,19.012346,0.40684912
54,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,79,80,1906.7988,-761.4512,1906.7988,-761.4512,286.46912,-124.285675,38.75,35.0,1.4582176,1.0584408,2790.545,12.018868,296.0181,-124.285675,37.97468,1.4582176,446.40137,4.0128727,34.177216,299.44174,-146.89471,1.0584408,19.1,0.49976212
55,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,78,79,1906.7988,-761.4512,1906.7988,-761.4512,287.47983,-124.285675,37.97468,34.177216,1.416157,1.0281488,2534.3965,10.979067,297.3929,-124.285675,37.17949,1.4161574,215.01465,3.0735855,33.333336,302.05923,-146.89471,1.0281489,19.01266,0.38278353
56,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,3,0,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,77,78,1906.7988,-761.4512,1906.7988,-761.4512,287.47983,-123.8822,38.46154,34.615387,1.450369,1.0529125,2678.0488,11.377303,297.3929,-123.8822,37.662334,1.4503685,394.667,3.5716226,33.766235,302.05923,-146.25241,1.0529126,19.115385,0.4742228
