14:25:05.907738400,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:25:05.907738400,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:25:25.911740700,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:25:25.911740700,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:25:45.907347100,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:25:45.907347100,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:05.912262600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:05.912262600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:25.910304700,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:25.910304700,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:45.908289400,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:26:45.908289400,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:05.911922500,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:05.911922500,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:25.910793600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:25.910793600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:45.911512800,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:27:45.911512800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:05.907714,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:05.907714,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:26.005270400,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:26.005270400,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:45.910660600,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:28:45.910660600,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:05.941285300,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:05.941285300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:25.906901,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:25.906901,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:45.907299300,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:29:45.907299300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:05.909944700,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:05.909944700,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:26.640300500,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:26.640300500,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:45.908058,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:30:45.908058,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:05.910569500,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:05.910569500,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:25.909945100,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:25.909945100,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:45.935988500,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:31:45.935988500,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:06.053100900,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:06.053100900,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:25.907249100,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:25.907249100,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:45.917472900,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:32:45.917472900,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:33:05.907014800,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:33:05.907014800,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:33:25.908070300,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:33:25.908070300,xxxxxxx_003:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
14:33:45.913409900,xxxxxxx_001:BANKNIFTY24NOVFUT Valar>0 Uday>0;:NRML
