09:35:59.537414,Price 50383.15,RoundedBN 50400.0,BNpremium 1247.3500000000015 50400,SkewDiff 425.14990234375,NiftyPremium 126.24999999999926 23600,FNPremium 318.1500000000008 23150,BankexPremium 118355.44 57500,SensexPremium 451.4600000000064 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50400.75;50400.75;50365.95;50378.15:23587.7;23590.65;23577.4;23582.0:23254.9;23254.9;23241.95;23246.95:57521.09;57527.72;57492.46;57512.76:77795.19;77797.38;77766.06;77782.06
09:36:59.537669,Price 50398.35,RoundedBN 50400.0,BNpremium 1255.2999999999984 50400,SkewDiff 430.900146484375,NiftyPremium 134.55000000000146 23600,FNPremium 305.3500000000015 23150,BankexPremium 118319.84 57500,SensexPremium 452.0000000000058 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50380.05;50418.2;50375.05;50400.95:23581.75;23600.6;23578.95;23594.95:23248.55;23270.45;23245.6;23262.7:57512.76;57552.79;57493.4;57548.36:77781.46;77822.68;77757.18;77814.69
09:37:59.537909,Price 50382.7,RoundedBN 50400.0,BNpremium 1244.799999999997 50400,SkewDiff 462.0,NiftyPremium 122.30000000000074 23600,FNPremium 313.2999999999986 23150,BankexPremium 118349.57999999999 57500,SensexPremium 447.9999999999942 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50401.6;50401.6;50374.25;50377.2:23594.3;23594.3;23581.3;23582.85:23261.1;23261.7;23250.85;23251.45:57548.36;57548.36;57500.73;57517.57:77816.86;77816.86;77769.41;77788.22
09:38:59.536775,Price 50417.9,RoundedBN 50400.0,BNpremium 1242.1999999999985 50400,SkewDiff 482.4500732421875,NiftyPremium 124.14999999999999 23600,FNPremium 295.2999999999986 23150,BankexPremium 118332.64 57600,SensexPremium 404.4099999999977 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50378.9;50423.9;50375.3;50422.4:23583.25;23596.1;23576.05;23595.85:23251.85;23274.45;23247.8;23273.35:57518.62;57567.41;57505.27;57567.41:77788.15;77825.71;77771.06;77825.71
09:39:59.537969,Price 50395.35,RoundedBN 50400.0,BNpremium 1253.4999999999986 50400,SkewDiff 494.199951171875,NiftyPremium 116.45000000000073 23600,FNPremium 300.8500000000015 23150,BankexPremium 118322.82 57500,SensexPremium 413.38000000000466 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50419.95;50425.05;50393.55;50396.75:23595.7;23595.7;23582.7;23586.7:23272.75;23277.25;23262.05;23265.45:57564.44;57572.99;57541.43;57552.61:77826.19;77826.19;77805.4;77809.98
09:40:59.537265,Price 50360.75,RoundedBN 50400.0,BNpremium 1210.75 50400,SkewDiff 412.0499267578125,NiftyPremium 117.24999999999855 23600,FNPremium 313.2999999999986 23150,BankexPremium 118362.95 57500,SensexPremium 421.61999999999824 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50392.65;50396.8;50323.7;50361.3:23587.1;23588.4;23573.95;23581.6:23265.85;23267.05;23237.65;23254.05:57545.38;57547.37;57470.27;57505.51:77806.12;77806.12;77771.81;77786.27
09:41:59.537463,Price 50217.35,RoundedBN 50200.0,BNpremium 1238.0000000000014 50200,SkewDiff 485.300048828125,NiftyPremium 135.14999999999856 23500,FNPremium 690.85 22950,BankexPremium 118340.31 57400,SensexPremium 534.3400000000023 77600,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50362.6;50407.6;50242.3;50242.3:23580.8;23593.5;23524.5;23524.5:23253.4;23272.65;23198.35;23198.35:57505.25;57555.85;57383.48;57383.48:77788.67;77827.96;77627.14;77627.14
09:42:59.537759,Price 50301.05,RoundedBN 50300.0,BNpremium 1252.8499999999972 50300,SkewDiff 459.5999755859375,NiftyPremium 135.85000000000144 23550,FNPremium 338.6000000000015 23150,BankexPremium 118342.63 57400,SensexPremium 462.0300000000018 77700,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50229.9;50291.5;50179.75;50291.5:23523.25;23552.65;23502.55;23552.65:23188.0;23222.9;23169.4;23222.9:57372.11;57419.53;57298.95;57409.92:77617.56;77667.78;77521.41;77663.63
09:43:59.539566,Price 50322.3,RoundedBN 50300.0,BNpremium 1245.299999999997 50300,SkewDiff 499.699951171875,NiftyPremium 117.65000000000073 23550,FNPremium 328.6500000000008 23150,BankexPremium 118323.17 57500,SensexPremium 441.85 77700,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50292.8;50329.15;50285.1;50311.15:23552.3;23570.4;23550.55;23566.2:23223.7;23240.35;23219.25;23233.5:57425.57;57466.49;57425.57;57450.71:77672.83;77729.99;77672.83;77721.69
09:44:59.537983,Price 50336.2,RoundedBN 50300.0,BNpremium 1227.100000000003 50300,SkewDiff 457.0498046875,NiftyPremium 116.55000000000072 23600,FNPremium 318.1000000000015 23150,BankexPremium 118345.78 57500,SensexPremium 445.4500000000058 77800,ATRAndEMAInfos |BANKNIFTY:1.67:-2.86|NIFTY:1.36:-4.32|FINNIFTY:1.70:-2.68|BANKEX:1.69:-2.57|Sensex:1.33:-3.75,IndexPrices 50322.3;50345.45;50295.25;50333.5:23567.95;23584.05;23564.5;23575.0:23235.85;23252.1;23229.25;23247.0:57454.97;57483.96;57428.97;57472.16:77727.0;77766.41;77727.0;77758.39
