S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
3,10-01-22,3,-380.94922,-1.0000553,-609.9577,-1.601064,
3,05-07-22,3,-337.05078,-0.98604476,-542.4829,-1.5870237,
3,18-04-16,5,75.899414,0.4670222,-86.4435,-0.53250396,
3,17-02-21,4,-387.3086,-1.0428293,-684.8421,-1.8438556,
3,05-07-21,2,-213.10156,-0.60734594,-353.66388,-1.0079539,
3,28-01-22,2,-243.55078,-0.6367583,-396.78925,-1.0373945,
3,28-01-21,1,-134.90039,-0.4479977,-195.259,-0.6484418,
3,29-06-20,2,-130.85156,-0.61529505,-216.04831,-1.0159036,
3,13-06-19,3,-141.65039,-0.45787823,-327.45847,-1.0583378,
3,20-09-22,1,-124.69922,-0.3010691,-207.66153,-0.5013669,
3,24-08-21,2,-228.25,-0.64411616,-370.20996,-1.0447631,
3,03-06-16,4,106.29883,0.59850305,-35.358185,-0.2009053,
3,24-08-20,3,-240.0,-1.0618403,-375.85272,-1.6628972,
3,12-10-20,3,236.04883,0.9771801,91.65837,0.37816468,
3,06-01-17,4,-209.90039,-1.1501721,-356.1388,-1.9513004,
3,11-05-21,1,197.10156,0.5956295,131.11606,0.39622858,
3,25-01-22,4,-485.75,-1.307787,-783.4084,-2.1090891,
3,11-05-22,5,-381.45703,-1.1028079,-727.8998,-2.1039069,
3,11-05-20,1,260.9004,1.3254945,221.79478,1.1268206,
3,25-01-21,2,542.1992,1.7205508,416.68903,1.3222666,
3,21-03-23,5,-442.19922,-1.1182122,-838.65125,-2.1193433,
3,21-03-18,3,-225.39844,-0.9253555,-371.77246,-1.526269,
3,21-03-16,3,-163.34863,-1.0365374,-258.06537,-1.6375742,
3,20-09-19,3,-376.54883,-1.3980575,-538.5196,-1.9994552,
3,06-12-21,3,1653.5039,4.554693,1437.345,3.9592555,
3,14-11-19,4,-307.75,-1.0033631,-553.51025,-1.8043652,
3,14-11-18,2,-179.15039,-0.69047,-283.11426,-1.0911568,
3,31-12-21,1,50.597656,0.14237961,-20.426048,-0.057488255,
3,29-05-20,6,-71.09961,-0.36992037,-302.0047,-1.5702963,
3,27-07-22,2,-231.85156,-0.6339623,-378.37122,-1.0345852,
3,28-12-20,2,-211.44922,-0.6882464,-334.53827,-1.0889373,
3,25-02-21,1,299.94922,0.80705386,225.91727,0.6078628,
3,11-06-21,3,709.4492,2.0101924,498.40265,1.412213,
3,25-02-22,2,127.80078,0.34636626,-18.267517,-0.0532822,
3,22-09-22,5,927.0,2.2660947,519.3485,1.2683778,
3,19-08-19,2,-177.64844,-0.6262239,-291.2982,-1.0268524,
3,22-09-20,1,140.19922,0.6534723,97.43042,0.4541224,
3,28-12-21,3,275.10547,0.7799628,63.76146,0.18073234,
3,16-10-18,5,-337.20312,-1.3173591,-593.59393,-2.3186605,
3,02-02-23,4,-433.60547,-1.0682516,-758.8956,-1.8693169,
3,02-02-22,1,-119.19922,-0.30552113,-197.34851,-0.50582445,
3,08-11-19,4,-318.60156,-1.0281172,-566.909,-1.8291428,
3,06-11-20,5,-327.94922,-1.236372,-593.796,-2.2376118,
3,30-07-20,1,453.80078,2.0400996,409.76648,1.8421358,
3,19-08-20,2,99.25,0.4438155,9.90535,0.04426334,
3,17-03-16,1,305.75,1.9522395,274.73276,1.7541959,
3,18-03-20,1,271.55078,1.3031737,230.14703,1.1044743,
3,18-03-21,1,708.2031,2.0390155,639.4461,1.8410523,
3,23-03-22,1,396.55078,1.0803549,323.53613,0.88143265,
3,28-12-16,5,-190.19727,-1.0604979,-369.8141,-2.0615823,
3,09-04-20,5,-246.34766,-1.2555361,-443.3761,-2.2567859,
3,23-03-23,1,518.64844,1.2932909,438.9611,1.0945837,
3,23-03-20,1,247.34961,1.3976725,212.20245,1.199074,
3,23-03-21,4,-345.75,-1.0195769,-618.3003,-1.8206095,
3,13-05-22,1,204.30078,0.60248655,136.68588,0.40308228,
3,10-12-20,3,40.953125,0.13416262,-142.13043,-0.46571106,
3,13-05-20,3,416.5996,2.10468,298.2826,1.5067878,
3,20-10-20,3,138.65039,0.5692413,-7.340454,-0.03019499,
3,20-10-21,2,286.75,0.7224568,128.27844,0.3231765,
3,27-12-21,4,-350.80078,-1.0012429,-631.5469,-1.802233,
3,16-09-21,5,-385.70312,-1.0368739,-758.4828,-2.037894,
3,16-09-20,3,-46.59961,-0.20921716,-182.0482,-0.80942917,
3,02-02-21,5,-377.5547,-1.1029325,-720.17017,-2.1040292,
3,02-02-16,2,194.7002,1.2607316,133.2522,0.86199075,
3,04-12-20,4,-357.30273,-1.203118,-595.2678,-2.0043268,
3,14-10-20,3,-271.50195,-1.1485887,-413.57495,-1.7497342,
3,17-03-23,3,775.4453,1.9659932,539.55695,1.3679534,
3,14-10-21,4,-405.15234,-1.0335497,-719.2643,-1.8345667,
3,15-04-20,1,-64.69922,-0.32259285,-104.875916,-0.5229206,
3,17-03-21,3,2189.25,6.258013,1981.5388,5.6642714,
3,14-10-22,1,-134.35156,-0.34091637,-213.30382,-0.5412595,
3,17-03-22,1,-115.05078,-0.3159477,-187.99484,-0.5162671,
3,07-05-20,1,86.75,0.4429478,47.66735,0.24339394,
3,17-03-20,1,474.70117,2.0451648,428.75406,1.8472092,
3,05-06-20,7,-210.15234,-1.0199788,-500.1777,-2.42099,
3,07-05-21,2,532.35156,1.6033175,400.0714,1.2049174,
3,17-09-21,3,-365.70312,-0.96580964,-593.25745,-1.566766,
3,30-11-21,5,-370.09375,-1.0188863,-733.9579,-2.019903,
3,19-02-16,3,15.699219,0.10866916,-70.42329,-0.49123278,
3,12-03-21,2,1611.8477,4.430128,1467.9248,4.0345497,
3,12-03-20,4,1110.4492,4.5040717,914.42285,3.7085717,
3,17-10-19,6,-366.5,-1.2719448,-712.83496,-2.473207,
3,17-10-18,2,1057.1016,4.09412,954.8785,3.6982162,
3,01-07-16,2,189.80078,1.0507572,117.73837,0.6518073,
3,11-04-16,4,-204.7002,-1.2976689,-331.1047,-2.0989592,
3,10-05-22,5,-352.44922,-1.0197765,-698.80566,-2.0207822,
3,10-05-21,3,35.695312,0.1061144,-163.59909,-0.4937869,
3,23-11-20,7,1047.3008,3.5659018,637.8419,2.16948,
3,30-11-16,5,-193.90039,-1.0544354,-378.4609,-2.05549,
3,22-12-21,3,-359.10547,-1.0288373,-568.89825,-1.6298778,
3,24-10-19,2,508.9004,1.715564,390.7551,1.3172889,
3,24-10-18,1,252.35156,1.0003808,202.1528,0.8013871,
3,22-12-20,5,-446.84766,-1.5228968,-740.81396,-2.5244348,
3,27-01-16,3,249.09863,1.5957003,155.69113,0.99729764,
3,03-05-21,5,-196.00195,-0.6060426,-520.4895,-1.6066449,
3,04-04-22,2,-80.19922,-0.21115781,-234.03282,-0.61137515,
3,20-02-18,1,263.80078,1.050292,213.83078,0.85133946,
3,01-07-20,5,-235.40039,-1.0956244,-450.6069,-2.0967224,
3,06-02-23,1,268.19922,0.644095,185.18802,0.44473782,
3,06-02-20,4,-340.7539,-1.0918646,-590.83154,-1.8929644,
3,14-12-21,3,-223.55078,-0.60591227,-445.19675,-1.2065142,
3,14-12-20,3,87.24805,0.28320074,-97.328125,-0.31651616,
3,25-08-20,3,-234.05273,-1.0141945,-372.75558,-1.6152098,
3,16-10-20,4,-240.55078,-1.0250115,-428.57285,-1.8260258,
3,03-05-16,4,806.24805,4.834123,673.6346,4.038958,
3,15-12-16,5,-200.00195,-1.0838177,-384.82596,-2.0848923,
3,28-11-16,1,-65.54883,-0.3567856,-102.358475,-0.55713665,
3,29-10-19,3,-300.25,-1.016016,-477.86475,-1.617027,
3,19-01-21,3,194.0,0.5978516,-0.493515,-0.00154051,
3,01-06-20,1,-73.75,-0.3678781,-113.91855,-0.56824315,
3,09-11-20,3,-167.35156,-0.61085904,-332.19452,-1.2114586,
3,05-02-20,2,-105.79883,-0.3419484,-229.82184,-0.74229175,
3,26-08-20,3,-216.19922,-0.9292594,-356.00864,-1.5301936,
3,06-01-21,1,-96.75,-0.30412048,-160.47285,-0.504424,
3,05-02-21,1,-157.94922,-0.4341119,-230.87607,-0.63454306,
3,01-06-22,1,253.64844,0.7104223,182.4943,0.5111377,
3,23-10-20,1,183.04883,0.74190384,133.88617,0.542648,
3,06-01-22,3,665.1992,1.7652727,439.771,1.1670341,
3,08-12-20,1,58.79883,0.1939237,-1.7835732,-0.0058811605,
3,21-02-23,1,177.10156,0.43341863,95.55556,0.23384988,
3,25-09-18,4,-279.70312,-1.1156679,-480.65326,-1.9167957,
3,08-12-21,2,-238.14844,-0.64294267,-386.54242,-1.0435872,
3,21-02-22,4,-430.94922,-1.143982,-732.78784,-1.9451395,
3,20-03-20,4,-213.54883,-1.0757402,-372.5971,-1.8768189,
3,18-02-16,2,79.09961,0.5526204,21.924503,0.15316826,
3,25-09-20,4,-234.55078,-1.1264665,-401.4348,-1.9276056,
3,26-08-19,9,-302.10352,-1.1095093,-794.2274,-2.9106228,
3,15-11-19,1,-96.25,-0.3102602,-158.39096,-0.5105694,
3,13-01-21,5,434.49805,1.3318743,108.97562,0.33320892,
3,29-10-18,5,-273.70117,-1.1063643,-521.5585,-2.1074712,
3,05-02-16,5,-190.0,-1.2710351,-339.8151,-2.272302,
3,23-10-19,1,106.34961,0.35973585,47.329456,0.16009767,
3,30-12-20,2,56.90039,0.18163592,-68.34351,-0.21818322,
3,17-10-22,5,-464.10547,-1.1695223,-861.6217,-2.1707003,
3,24-09-19,2,68.5,0.2249605,-52.614403,-0.17481083,
3,07-12-21,4,-385.04297,-1.0650666,-674.67114,-1.8661121,
3,07-12-20,4,-0.6484375,-0.0038644075,-242.6992,-0.8038554,
3,12-04-22,5,33.253906,0.08587471,-344.82574,-0.9140353,
3,02-06-20,3,-220.84961,-1.0989273,-341.81107,-1.7000237,
3,16-11-18,1,78.65039,0.29879528,26.084038,0.09909388,
3,07-01-21,2,337.29883,1.0503829,209.18832,0.6514306,
3,07-01-22,2,262.29688,0.6878911,110.987366,0.28858143,
3,15-11-21,2,637.9531,1.6340911,482.43158,1.2357203,
3,12-04-16,3,-150.2998,-0.94725746,-245.6528,-1.5481956,
3,02-06-16,3,44.748047,0.25457263,-60.634506,-0.34517428,
3,16-11-16,1,195.79883,1.0061554,157.07443,0.80716044,
3,29-10-20,2,643.30273,2.6481314,546.77563,2.2507787,
3,30-12-16,4,-192.19922,-1.0608919,-337.3886,-1.8619423,
3,04-05-21,4,-336.49414,-1.0268263,-599.1703,-1.8278581,
3,18-10-22,2,-254.20312,-0.63214695,-415.30853,-1.0327793,
3,09-12-16,1,-64.54883,-0.34604508,-101.91998,-0.5463908,
3,30-09-20,3,-229.64648,-1.0722376,-358.37744,-1.6733167,
3,30-09-22,3,-380.14453,-1.0052978,-607.4236,-1.6062882,
3,17-11-21,2,821.75,2.1379313,668.8264,1.7400532,
3,17-11-20,4,-299.85156,-1.035579,-531.9732,-1.8366059,
3,05-04-22,2,1126.6484,2.9212208,973.5056,2.5241377,
3,13-12-21,3,929.7031,2.4801598,705.7324,1.8826555,
3,06-03-23,4,812.15234,1.9526584,480.27817,1.154609,
3,06-03-20,4,-509.70312,-1.8414773,-731.70264,-2.6433277,
3,24-11-20,4,-362.74805,-1.2333889,-598.4018,-2.0346308,
