Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1093,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1094,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1095,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1096,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1097,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1098,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1099,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1100,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1101,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1102,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.5,TRUE,1000,1000,1000,1.5,1000,10,5
1103,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1104,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1105,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1106,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1107,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1108,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1109,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1110,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1111,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1112,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1113,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1114,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1115,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1116,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1117,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1118,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1119,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1120,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
1121,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.6,TRUE,1000,1000,1000,1.5,1000,10,5
