Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
1600,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,138,199,818.5469,-606.25,1578.6055,-1170.8516,181.71013,-161.60661,59.296482,51.256283,1.6380117,1.16339,8351.659,30.780582,275.51855,-195.43228,54.347824,1.6783217,2579.7188,10.865221,44.2029,287.60785,-194.34232,1.172391,136.64322,1.2872483
1601,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,102,145,818.5469,-417.54688,1578.6055,-911.25,161.61163,-145.40282,64.82758,57.24138,2.0486012,1.3825679,7775.949,27.526205,250.27658,-172.39632,58.823532,2.0739307,3512.6143,13.012444,49.019608,249.77827,-172.62115,1.3913208,135.95862,2.7780643
1602,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,87,115,818.5469,-531.75,955.44727,-697.9004,195.60071,-144.17644,57.391304,47.826088,1.8273594,1.2921332,5845.001,19.204025,278.1532,-169.51332,52.873566,1.841002,2524.502,7.6944494,42.528736,296.55154,-168.9581,1.2988317,137.24348,1.6585132
1603,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,87,115,818.5469,-531.75,955.44727,-697.9004,195.60071,-144.17644,57.391304,47.826088,1.8273594,1.2921332,5845.001,19.204025,278.1532,-169.51332,52.873566,1.841002,2524.502,7.6944494,42.528736,296.55154,-168.9581,1.2988317,137.24348,1.6585132
1604,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,82,105,818.5469,-417.54688,1578.6055,-772.14453,177.12486,-149.24316,64.76191,58.09524,2.1811843,1.4969294,6522.493,22.501625,240.44476,-171.86703,60.975613,2.1859632,3386.7305,11.990359,52.439022,235.40068,-172.70511,1.5028177,137.87619,3.6147525
1605,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,60,77,645.85156,-531.75,955.44727,-697.9004,201.7286,-142.9014,57.14286,48.05195,1.8822175,1.3492045,4160.3125,13.852953,257.8944,-177.23453,56.666668,1.9028265,2006.9307,6.1460814,48.333332,261.37067,-179.76834,1.3601284,145.62338,1.1785696
1606,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,39,44,625.0508,-404.5,1123.8516,-404.5,214.02628,-115.76728,47.727272,43.18182,1.688001,1.1827588,1831.9043,7.36815,261.55026,-118.838646,43.589745,1.7006843,612.7012,2.9644952,41.025642,247.27563,-145.37865,1.18324,100.954544,1.059013
1607,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,14,15,445.99805,-199.75,445.99805,-199.75,181.19992,-94.8313,46.666668,40.0,1.6719158,1.0643578,509.74902,1.9804065,181.19992,-108.378624,50.0,1.6719157,64.83594,0.47943032,42.857143,178.71094,-125.92871,1.0643578,94.4,0.49667388
1608,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,5,5,445.99805,-113.55078,445.99805,-113.55078,215.84961,-105.70117,60.000004,40.0,3.0631115,1.9534433,436.14648,1.3349715,215.84961,-105.70117,60.000004,3.0631115,269.3086,0.83429986,40.0,275.8838,-94.15299,1.9534433,91.6,1.620657
1609,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,5,5,445.99805,-113.55078,445.99805,-113.55078,215.84961,-105.70117,60.000004,40.0,3.0631115,1.9534433,436.14648,1.3349715,215.84961,-105.70117,60.000004,3.0631115,269.3086,0.83429986,40.0,275.8838,-94.15299,1.9534433,91.6,1.620657
1610,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,445.99805,-97.85156,445.99805,-97.85156,445.99805,-97.85156,50.0,50.0,4.5579042,3.019238,348.14648,1.1185309,445.99805,-97.85156,50.0,4.5579042,276.34375,0.91796714,50.0,413.19922,-136.85547,3.019238,98.0,2.6193752
1611,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,445.99805,-97.85156,445.99805,-97.85156,445.99805,-97.85156,50.0,50.0,4.5579042,3.019238,348.14648,1.1185309,445.99805,-97.85156,50.0,4.5579042,276.34375,0.91796714,50.0,413.19922,-136.85547,3.019238,98.0,2.6193752
1612,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,0,0,0.0,3.4028235E38,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,-0.0
1613,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,0,0,0.0,3.4028235E38,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,-0.0
1614,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,1,1,0.0,-39.398438,0.0,-39.398438,NaN,-39.398438,0.0,0.0,NaN,NaN,-39.398438,-0.17763688,NaN,-39.398438,0.0,NaN,-61.558594,-0.27755103,0.0,NaN,-61.558594,NaN,41.0,-Infinity
1616,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,166,275,847.9492,-606.25,2092.2031,-1168.8008,178.97836,-171.98569,58.90909,51.63636,1.4919174,1.0662253,9560.111,36.537746,320.9344,-232.42,52.409637,1.5206697,1533.4814,9.01954,43.975906,322.6081,-236.74097,1.0696503,136.20364,0.5702993
1617,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,165,274,847.9492,-606.25,2092.2031,-1168.8008,178.97836,-170.24718,59.12409,51.82482,1.5206093,1.0851436,9926.811,37.524532,320.9344,-230.69847,52.727272,1.5516586,1937.1611,10.10584,44.242424,322.6081,-234.92642,1.0896285,136.28831,0.6861115
1618,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,165,274,847.9492,-606.25,2092.2031,-1168.8008,178.97836,-170.24718,59.12409,51.82482,1.5206093,1.0851436,9926.811,37.524532,320.9344,-230.69847,52.727272,1.5516586,1937.1611,10.10584,44.242424,322.6081,-234.92642,1.0896285,136.28831,0.6861115
1619,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,163,272,847.9492,-606.25,2092.2031,-1168.8008,179.58258,-166.99039,59.191177,51.838238,1.5598242,1.1099122,10376.861,38.43784,323.71616,-226.78871,52.76074,1.5942289,2438.2744,11.218675,44.17178,326.16162,-231.26773,1.115858,136.44118,0.8519354
1615,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.3,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,0,0,0.0,3.4028235E38,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,-0.0
1620,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,123,197,847.9492,-417.54688,1607.0547,-911.25,161.67923,-154.07959,64.97462,57.868023,1.9465697,1.3288691,10063.449,35.43211,284.15054,-203.8312,58.536583,1.9680681,4264.408,15.714447,47.96748,288.08038,-198.94273,1.3349273,134.98985,1.7686402
1621,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,104,162,847.9492,-531.75,1218.2031,-697.9004,177.04459,-153.66095,58.024693,50.0,1.5927153,1.121532,6193.246,21.027428,287.62576,-206.53741,53.846157,1.6247102,1531.8281,4.817005,47.115387,275.57,-217.6564,1.1279607,137.17284,0.6224515
1622,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,104,162,847.9492,-531.75,1218.2031,-697.9004,177.04459,-153.66095,58.024693,50.0,1.5927153,1.121532,6193.246,21.027428,287.62576,-206.53741,53.846157,1.6247102,1531.8281,4.817005,47.115387,275.57,-217.6564,1.1279607,137.17284,0.6224515
1623,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,97,136,847.9492,-417.54688,1607.0547,-772.14453,174.16212,-165.65529,66.17647,59.558823,2.056994,1.4312922,8054.448,28.087656,265.1922,-199.78662,60.82474,2.0609276,3977.7363,14.473637,53.608246,251.70296,-202.46262,1.4365947,137.11029,2.1074948
1624,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,74,110,645.85156,-531.75,1218.2031,-697.9004,200.1985,-155.34383,55.454548,50.0,1.6043555,1.166183,4600.2607,16.03989,287.0246,-217.20448,55.405407,1.6418002,1512.2617,5.031965,51.35135,264.4629,-237.14801,1.1771351,143.77272,0.61819255
1625,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,52,61,1358.8008,-414.94922,2359.0508,-537.3496,252.44687,-123.81011,52.459015,47.540985,2.2499135,1.6244496,4487.8066,18.754343,321.14597,-131.14232,48.076923,2.2674403,2807.9336,12.6449995,44.230766,317.23175,-154.7723,1.6255982,107.39344,2.814296
1626,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,20,22,1358.8008,-221.80078,2359.0508,-221.80078,345.99548,-90.89098,50.0,45.454548,3.8067086,2.6156569,2806.1494,10.768163,380.59503,-99.98008,50.0,3.8067086,2175.087,8.562794,45.0,391.2603,-122.386894,2.6156564,106.77273,4.926436
1627,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,9,10,1358.8008,-113.55078,2359.0508,-113.55078,450.71402,-68.967445,70.0,60.000004,15.248731,9.570512,2948.0957,10.793639,525.833,-68.967445,66.66667,15.248734,2660.3232,9.788247,55.555557,594.1455,-77.601074,9.570511,118.1,19.014004
1628,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,9,10,1358.8008,-113.55078,2359.0508,-113.55078,450.71402,-68.967445,70.0,60.000004,15.248731,9.570512,2948.0957,10.793639,525.833,-68.967445,66.66667,15.248734,2660.3232,9.788247,55.555557,594.1455,-77.601074,9.570511,118.1,19.014004
1629,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,4,5,1358.8008,-100.19922,2359.0508,-100.19922,732.8247,-100.19922,80.0,80.0,29.254707,20.306341,2831.0996,10.444144,977.0996,-100.19922,75.0,29.254707,2687.503,9.938925,75.0,942.23535,-139.20312,20.306341,150.0,27.883598
1632,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,341.8496,-27.25,341.8496,-27.25,341.8496,-27.25,50.0,50.0,12.54494,7.655762,314.5996,1.2615075,341.8496,-27.25,50.0,12.54494,276.57812,1.0608809,50.0,318.1328,-41.554688,7.655762,49.5,Infinity
1633,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,3,3,292.04883,-39.398438,292.04883,-39.398438,280.69922,-39.398438,66.66667,66.66667,14.24926,8.305796,522.0,2.1005378,280.69922,-39.398438,66.66667,14.24926,449.73438,1.799484,66.66667,255.64648,-61.558594,8.305796,97.666664,Infinity
1634,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,292.04883,269.3496,292.04883,0.0,280.69922,NaN,100.0,100.0,NaN,NaN,561.39844,2.2781744,280.69922,NaN,100.0,NaN,511.29297,2.077035,100.0,255.64648,NaN,NaN,126.0,Infinity
1630,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,4,5,1358.8008,-100.19922,2359.0508,-100.19922,732.8247,-100.19922,80.0,80.0,29.254707,20.306341,2831.0996,10.444144,977.0996,-100.19922,75.0,29.254707,2687.503,9.938925,75.0,942.23535,-139.20312,20.306341,150.0,27.883598
1631,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.3,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,341.8496,-27.25,341.8496,-27.25,341.8496,-27.25,50.0,50.0,12.54494,7.655762,314.5996,1.2615075,341.8496,-27.25,50.0,12.54494,276.57812,1.0608809,50.0,318.1328,-41.554688,7.655762,49.5,Infinity
1635,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,174,324,833.39844,-606.25,2537.8535,-1168.8008,188.21123,-165.22147,57.71605,50.0,1.5548916,1.1186328,12560.158,44.707615,367.92722,-259.62372,52.873566,1.5899796,3207.505,12.285235,43.103447,383.45297,-258.0956,1.1255311,138.37654,0.7368207
1636,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,172,322,833.39844,-606.25,2537.8535,-1168.8008,186.01424,-163.74,57.763977,50.0,1.5536939,1.1142515,12330.008,43.58478,365.41156,-258.3018,52.90698,1.5893197,3042.9268,11.362979,43.023254,380.9556,-256.61008,1.1210017,138.29193,0.7290034
1637,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,172,322,833.39844,-606.25,2537.8535,-1168.8008,186.01424,-163.74,57.763977,50.0,1.5536939,1.1142515,12330.008,43.58478,365.41156,-258.3018,52.90698,1.5893197,3042.9268,11.362979,43.023254,380.9556,-256.61008,1.1210017,138.29193,0.7290034
1638,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,170,319,833.39844,-606.25,2537.8535,-1168.8008,186.37662,-161.014,57.68025,49.84326,1.577654,1.1287289,12556.407,43.83282,366.07892,-254.8837,52.941177,1.615791,3355.4092,11.910888,42.941177,382.67572,-253.40123,1.1365103,138.38872,0.8491817
1639,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,128,230,833.39844,-473.75,2222.207,-1095.1484,174.24547,-148.7597,62.173916,55.217392,1.9252759,1.3345122,11975.007,39.921017,337.43353,-230.13896,57.03125,1.9460691,5272.1953,16.901035,46.875,346.5892,-228.28172,1.3396343,137.43913,1.4515481
1640,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,112,196,833.39844,-531.75,1651.9453,-832.4961,189.41553,-156.72899,58.67347,50.510204,1.7158489,1.2268072,9087.736,30.013025,342.03445,-242.36803,55.35714,1.7499119,3456.829,10.398084,47.32143,339.43747,-246.32808,1.2378548,139.2704,1.2779218
1641,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,111,195,833.39844,-531.75,1651.9453,-832.4961,185.84152,-156.72899,58.46154,50.256413,1.6688347,1.1895231,8490.887,27.903406,337.8572,-242.36803,54.954952,1.7006606,2888.5713,8.389525,46.846848,335.03708,-246.32808,1.1987547,139.00513,1.0310706
1642,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,105,158,833.39844,-446.5,1651.9453,-870.6953,189.39354,-161.61047,63.92405,58.227848,2.0765488,1.4697062,9916.951,33.29613,298.29526,-223.75476,60.952385,2.0809913,5218.324,17.479446,53.333336,289.52576,-224.39017,1.474604,138.62659,2.1357698
1643,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,81,133,645.85156,-531.75,1301.502,-842.8496,196.07701,-157.57892,57.14286,49.62406,1.65908,1.2081697,5919.8545,20.21683,313.39685,-242.7543,56.790127,1.6967487,2228.796,6.9067817,49.382717,307.67267,-245.80759,1.2211522,142.94737,0.82811904
1644,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,56,70,1496.75,-420.70312,3855.8008,-537.3496,279.287,-126.94675,54.285717,48.57143,2.612539,1.9115099,6550.6094,26.157907,364.62787,-149.02217,51.785713,2.6280475,4598.3574,19.144892,48.214287,357.15286,-173.95757,1.9115101,107.47143,4.9150696
1648,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,6,7,1358.8008,-100.19922,2359.0508,-100.19922,560.3337,-100.19922,85.71429,85.71429,33.553177,22.87341,3261.8027,11.655222,672.4004,-100.19922,83.33333,33.55316,3044.8467,10.949394,83.33333,636.80994,-139.20312,22.873398,136.14285,30.718466
1649,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,5,6,1358.8008,-100.19922,2359.0508,-100.19922,605.81995,-100.19922,83.33333,83.33333,30.23076,20.733683,2928.9004,10.700778,757.2749,-100.19922,80.0,30.23077,2746.9912,10.095431,80.0,721.5486,-139.20312,20.733688,138.0,28.322678
1645,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,22,25,1496.75,-221.80078,3855.8008,-221.80078,409.6467,-94.363815,56.0,52.0,5.5250893,3.872245,4697.052,17.295694,477.92114,-103.80019,54.545456,5.5250897,3964.3428,14.787052,50.0,485.86975,-125.47497,3.8722444,111.2,8.186804
1646,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,11,13,1496.75,-105.75,3855.8008,-105.75,508.24512,-66.36719,76.92308,69.230774,25.526932,15.85116,4883.3496,17.47188,635.3064,-66.36719,72.72727,25.526926,4493.954,16.163149,63.636364,685.222,-75.6499,15.851157,123.69231,33.229725
1647,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,10,12,1496.75,-105.75,3855.8008,-105.75,527.72766,-66.36719,75.0,66.66667,23.854906,14.866838,4550.4473,16.517437,678.50696,-66.36719,70.0,23.854904,4196.0986,15.309186,60.000004,749.783,-75.6499,14.866836,123.583336,31.474068
1650,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,341.8496,-78.5,341.8496,-78.5,286.5747,-52.875,50.0,50.0,5.4198527,3.4141214,467.3994,2.5575879,286.5747,-52.875,50.0,5.4198527,377.60254,2.1563194,50.0,267.0083,-78.20703,3.4141214,73.0,6.833762
1651,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,341.8496,-78.5,341.8496,-78.5,286.5747,-52.875,50.0,50.0,5.4198527,3.4141214,467.3994,2.5575879,286.5747,-52.875,50.0,5.4198527,377.60254,2.1563194,50.0,267.0083,-78.20703,3.4141214,73.0,6.833762
1652,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,292.04883,-39.398438,292.04883,-39.398438,202.89973,-39.398438,75.0,75.0,15.449831,8.482138,569.3008,2.2304063,202.89973,-39.398438,75.0,15.449831,460.58984,1.8292887,75.0,174.04948,-61.558594,8.482138,92.0,Infinity
1653,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.3,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,3,3,292.04883,47.30078,292.04883,0.0,202.89973,NaN,100.0,100.0,NaN,NaN,608.6992,2.408043,202.89973,NaN,100.0,NaN,522.14844,2.1068397,100.0,174.04948,NaN,NaN,109.0,Infinity
1654,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,175,353,830.0469,-606.25,2527.5527,-1522.2969,191.45544,-163.21278,57.223797,50.141644,1.569235,1.1286931,14028.867,49.598763,414.14557,-273.46155,51.428574,1.603542,3797.0117,14.273977,43.42857,417.75714,-282.3488,1.1358379,139.47308,0.8685624
1655,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,173,351,830.0469,-606.25,2527.5527,-1522.2969,189.29128,-161.74855,57.26496,50.14245,1.5681771,1.1244292,13785.266,48.411995,411.76013,-272.15933,51.445084,1.6029935,3618.9746,13.287812,43.3526,415.3556,-280.94586,1.1314428,139.39316,0.86821544
1656,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,173,351,830.0469,-606.25,2527.5527,-1522.2969,189.29128,-161.74855,57.26496,50.14245,1.5681771,1.1244292,13785.266,48.411995,411.76013,-272.15933,51.445084,1.6029935,3618.9746,13.287812,43.3526,415.3556,-280.94586,1.1314428,139.39316,0.86821544
1657,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,172,347,830.0469,-606.25,2527.5527,-1522.2969,187.65074,-159.26532,57.060516,49.855907,1.5656979,1.1184186,13424.313,46.853203,406.2949,-265.82898,51.162792,1.6011884,3376.9062,12.129791,43.023254,410.02344,-275.1513,1.1252337,139.55043,0.7851009
1658,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,131,251,830.0469,-473.75,2222.207,-1522.2969,177.34871,-149.70152,61.752987,54.98008,1.9127678,1.3306348,13117.705,43.937073,367.5682,-247.05864,56.48855,1.9315002,5781.7256,18.815098,47.328247,371.46408,-249.98619,1.3351911,138.12749,1.3900685
1659,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,112,213,830.0469,-531.75,2069.3516,-1246.8984,191.78352,-156.9565,57.276993,50.704224,1.6381378,1.1714127,9114.548,30.492037,385.29813,-256.94418,52.678574,1.6692997,2937.291,9.176845,46.42857,371.69006,-273.17648,1.1792061,141.53052,0.9649889
1664,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.3,0.5,TRUE,1000,1000,1000,1.5,1000,10,5,23,27,1496.75,-404.3496,3855.3008,-404.3496,409.08237,-115.38852,51.851852,48.148148,3.8179731,2.7997186,4227.1025,15.49083,477.2628,-136.36826,52.173912,3.8179727,3430.5205,12.783084,47.826088,485.15118,-158.84521,2.7997189,107.666664,3.6344042
