Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
1051,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,140,298,847.9492,-531.75,3272.043,-969.5,178.97983,-138.69156,57.71812,49.328857,1.761619,1.2143556,13309.395,45.016098,412.1607,-250.42293,52.14286,1.7932491,4624.799,15.1937275,45.714287,395.88342,-272.5229,1.2232937,140.1443,1.5785561
1052,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,139,297,847.9492,-531.75,3272.043,-969.5,178.97983,-137.0019,57.912457,49.49495,1.7976116,1.2365278,13659.293,45.95809,412.1607,-248.91573,52.517986,1.8314421,5011.666,16.235258,46.043167,395.88342,-270.99832,1.246578,140.23906,1.8914384
1053,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,132,246,847.9492,-384.69922,1874.207,-714.64844,187.01402,-142.19762,66.26016,60.569107,2.5828035,1.7685239,18680.883,61.961346,385.38522,-221.97266,59.848488,2.587896,11239.857,37.330338,53.78788,363.08014,-238.3415,1.7730924,137.86992,6.7062798
1054,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,98,198,817.5,-531.75,1684.9531,-969.5,191.02069,-142.185,57.575756,49.49495,1.8232751,1.2886549,9832.819,33.982372,400.94165,-253.71309,54.08163,1.8612367,4215.9727,14.165531,46.938778,394.59595,-267.98926,1.302536,144.16162,1.6371726
1056,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,29,39,1602.5,-221.80078,5465.801,-221.80078,358.78464,-107.05379,66.66667,64.10257,6.702887,4.765307,7936.701,29.400206,548.72943,-115.97494,58.62069,6.7028847,6817.7695,25.485546,55.172413,539.2782,-139.2832,4.765305,110.948715,13.810125
1057,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,14,17,1506.75,-113.55078,3933.25,-113.55078,452.00363,-68.967445,82.35294,76.47059,30.584728,19.09847,6121.1484,21.632584,575.27734,-68.967445,78.57143,30.58472,5617.843,19.921774,71.42857,592.8247,-77.601074,19.098473,123.05882,38.698723
1058,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,13,15,1506.75,-113.55078,3933.25,-113.55078,460.3086,-68.967445,80.0,73.333336,26.697151,16.694162,5316.801,19.026363,552.3703,-68.967445,76.92308,26.697157,4871.534,17.516855,69.230774,575.77094,-77.601074,16.694162,123.53333,34.02709
1059,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1441.8516,-100.19922,2442.1016,-100.19922,608.7001,-64.47461,77.77778,77.77778,33.043243,20.209862,4131.951,14.407914,852.18005,-64.47461,71.42857,33.043243,3849.9639,13.500724,71.42857,810.076,-100.20801,20.209864,129.0,37.876205
1055,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,77,122,1602.5,-414.94922,5465.801,-1161.4512,270.1441,-137.34816,56.557377,53.27869,2.5606244,1.8869612,11360.491,43.242218,482.67352,-179.00262,49.35065,2.6273205,7916.247,31.02073,45.454548,473.77713,-206.33221,1.9134885,106.040985,6.6620035
1060,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,7,8,1441.8516,-100.19922,2442.1016,-100.19922,599.2754,-64.47461,75.0,75.0,27.88425,17.053635,3466.7031,12.351929,719.1305,-64.47461,71.42857,27.884254,3217.4053,11.545767,71.42857,683.5643,-100.20801,17.053635,129.5,32.391586
1061,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,9,9,1331.3008,-181.44922,1331.3008,-181.44922,377.42914,-104.34961,77.77778,66.66667,12.659387,9.668321,2433.3047,9.447882,377.42914,-104.34961,77.77778,12.659387,2193.0508,8.543161,66.66667,407.67447,-84.33203,9.668321,70.77778,11.680324
1062,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,9,9,1331.3008,-181.44922,1331.3008,-181.44922,377.42914,-104.34961,77.77778,66.66667,12.659387,9.668321,2433.3047,9.447882,377.42914,-104.34961,77.77778,12.659387,2193.0508,8.543161,66.66667,407.67447,-84.33203,9.668321,70.77778,11.680324
1063,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,9,9,1279.4512,-181.44922,1279.4512,-181.44922,379.34003,-77.72461,55.555557,44.444447,6.100707,4.0570235,1585.8018,6.298629,379.34003,-77.72461,55.555557,6.100707,1348.5771,5.395476,44.444447,447.42944,-88.22813,4.0570235,71.44444,5.3475313
1064,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,4,4,1279.4512,-5.0,1279.4512,-5.0,613.6165,-5.0,75.0,75.0,368.16992,42.658096,1835.8496,6.952487,613.6165,-5.0,75.0,368.16992,1721.4883,6.549008,75.0,587.6042,-41.32422,42.658096,108.0,57.56912
1065,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,215,531,836.10156,-592.39844,3260.6914,-1154.9492,184.0091,-141.84903,59.698685,52.54237,1.92158,1.3347645,27975.19,94.410675,509.90527,-275.2336,51.627903,1.9773228,12492.748,41.263435,43.720932,508.5777,-291.84756,1.3537664,139.30696,2.700915
1066,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,213,529,836.10156,-592.39844,3260.6914,-1154.9492,182.70264,-140.7934,59.73535,52.551987,1.9251741,1.3339674,27745.04,93.28786,509.11487,-274.3456,51.643192,1.9818612,12328.17,40.34118,43.661972,507.93597,-290.91562,1.3531429,139.25897,2.8426745
1067,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,213,529,836.10156,-592.39844,3260.6914,-1154.9492,182.70264,-140.7934,59.73535,52.551987,1.9251741,1.3339674,27745.04,93.28786,509.11487,-274.3456,51.643192,1.9818612,12328.17,40.34118,43.661972,507.93597,-290.91562,1.3531429,139.25897,2.8426745
1068,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,211,526,836.10156,-592.39844,3260.6914,-1154.9492,182.89389,-138.94926,59.695816,52.47148,1.9495605,1.3477826,27971.438,93.53589,510.98425,-271.82202,51.658768,2.008858,12640.652,40.88909,43.601894,510.6811,-288.5883,1.3680813,139.3232,3.237309
1069,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,168,407,833.39844,-473.75,3260.6914,-1095.1484,181.36955,-127.2487,62.653564,56.511055,2.3911545,1.6130399,26907.434,87.46867,497.23077,-247.86577,54.761906,2.4283748,14903.742,46.7249,47.023808,489.4878,-267.03137,1.6271088,139.55037,4.059196
1072,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,139,268,833.39844,-446.5,1874.207,-870.6953,191.35979,-140.20424,64.55224,59.701492,2.4854898,1.711731,19785.836,65.22631,398.4836,-237.2911,59.71223,2.4889667,11712.46,38.393623,53.237408,379.49066,-251.84384,1.7154896,138.42537,5.8230166
1073,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,100,218,817.5,-531.75,1675.3535,-969.5,190.58084,-136.50473,57.339447,49.541286,1.8765432,1.3179407,11127.665,37.97593,422.05106,-268.55872,55.0,1.9207724,4961.999,16.15705,46.0,430.7127,-275.01456,1.3341237,143.54587,1.8102188
1074,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,77,127,1602.5,-420.70312,5465.801,-1161.4512,262.518,-136.00186,56.692917,51.181103,2.526877,1.8534782,11421.195,43.976204,489.83954,-184.42836,49.35065,2.587886,7845.458,31.254349,45.454548,479.89664,-213.11728,1.8764969,106.20473,6.712176
1070,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,142,331,833.39844,-531.75,3260.6914,-969.5,182.3728,-134.31831,57.401814,49.848946,1.8296133,1.2589048,15711.949,53.01762,451.82983,-271.27298,52.816902,1.8644676,6073.966,19.891184,45.774647,439.66788,-292.26553,1.2699006,141.27492,2.0409024
1071,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,140,329,833.39844,-531.75,3260.6914,-969.5,180.17981,-132.77846,57.446808,49.848022,1.8319442,1.2553842,15464.998,51.850002,449.8701,-270.08167,52.857143,1.8675826,5892.575,18.924154,45.714287,437.65866,-291.02075,1.2664207,141.21277,2.174005
1075,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,29,39,1602.5,-221.80078,5465.801,-221.80078,358.7174,-109.99234,66.66667,64.10257,6.52259,4.674298,7896.752,29.298122,548.6266,-119.15836,58.62069,6.5225887,6777.793,25.38349,55.172413,538.9027,-141.89618,4.674297,111.23077,13.390476
1076,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,14,17,1496.75,-105.75,3964.0508,-105.75,453.2288,-66.36719,82.35294,76.47059,31.869184,19.647757,6146.1016,21.737116,576.8367,-66.36719,78.57143,31.869175,5642.8037,20.026245,71.42857,594.54034,-75.6499,19.647758,123.64706,41.171844
1077,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,13,15,1496.75,-105.75,3964.0508,-105.75,463.71713,-66.36719,80.0,73.333336,27.948578,17.259974,5365.504,19.19969,556.4606,-66.36719,76.92308,27.948586,4920.2607,17.690094,69.230774,580.3178,-75.6499,17.259974,124.13333,36.368965
1078,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1441.8516,-100.19922,2442.1016,-100.19922,606.7503,-64.47461,77.77778,77.77778,32.937405,20.141705,4118.3027,14.366625,849.4504,-64.47461,71.42857,32.937405,3836.3037,13.45944,71.42857,807.34393,-100.20801,20.141705,129.44444,37.760384
1079,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,7,8,1441.8516,-100.19922,2442.1016,-100.19922,600.959,-64.47461,75.0,75.0,27.96259,17.104055,3476.8047,12.379428,721.15076,-64.47461,71.42857,27.96259,3227.5107,11.573249,71.42857,685.5853,-100.20801,17.104057,129.875,32.468685
1080,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,11,11,1331.3008,-181.44922,1331.3008,-181.44922,359.16296,-95.73307,72.72727,63.636364,10.004566,7.2363496,2586.1045,10.743962,359.16296,-95.73307,72.72727,10.004566,2294.0752,9.6386,63.636364,380.27582,-91.96387,7.2363496,75.454544,13.178022
1081,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.45,TRUE,1000,1000,1000,1.5,1000,10,5,11,11,1331.3008,-181.44922,1331.3008,-181.44922,359.16296,-95.73307,72.72727,63.636364,10.004566,7.2363496,2586.1045,10.743962,359.16296,-95.73307,72.72727,10.004566,2294.0752,9.6386,63.636364,380.27582,-91.96387,7.2363496,75.454544,13.178022
