sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
15044,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,70,2,1,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15045,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15046,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,10,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15047,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,6,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15048,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,1,6,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15049,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,2,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15050,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15051,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,2,6,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15052,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15053,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15054,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15055,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,15,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15056,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15057,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,8,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15058,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15059,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15060,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15061,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,3,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15062,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,20,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15063,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15064,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,0,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15065,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,2,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15066,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,2,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15067,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15068,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15069,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15070,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,5,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
