S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1028,06-07-20,1,-38.5,-0.17277397,-60.765625,-0.27269396,
1028,07-07-20,2,613.0508,2.743753,568.0586,2.542389,
1028,15-07-20,4,494.69727,2.2906957,407.81836,1.8895648,
1028,17-07-20,3,416.74805,1.9067014,350.9668,1.605747,
1028,20-07-20,1,-116.80078,-0.5206093,-139.17773,-0.6203488,
1028,21-07-20,3,-88.046875,-0.38725102,-156.08594,-0.6870536,
1028,24-07-20,3,-167.85156,-0.739142,-235.89062,-1.0387886,
1028,04-08-20,4,73.19922,0.34312657,-12.230469,-0.05705848,
1028,05-08-20,3,-42.802734,-0.19531661,-108.15625,-0.4952158,
1028,06-08-20,2,-268.1504,-1.2288885,-311.65234,-1.4282635,
1028,10-08-20,2,-63.25,-0.28721797,-107.25,-0.48708108,
1028,11-08-20,1,-159.45117,-0.7179041,-181.58203,-0.8175449,
1028,18-08-20,4,280.5,1.270324,191.9961,0.86968994,
1028,21-08-20,2,-61.54883,-0.2759743,-106.109375,-0.47583705,
1028,24-08-20,3,658.60156,2.91401,590.46875,2.6125655,
1028,25-08-20,2,-276.5996,-1.198711,-322.61133,-1.3981147,
1028,27-08-20,2,25.5,0.10795111,-21.759766,-0.09211436,
1028,28-08-20,4,1133.8535,4.739688,1037.5898,4.337312,
1028,02-09-20,2,35.54883,0.14896932,-12.205078,-0.051111363,
1028,04-09-20,3,-448.0,-1.9197459,-517.7617,-2.2187846,
1028,10-09-20,2,89.35156,0.39727727,44.32617,0.19708547,
1028,14-09-20,1,-103.09961,-0.45467004,-125.72461,-0.55444646,
1028,15-09-20,3,146.75195,0.65454125,79.4043,0.3542257,
1028,16-09-20,1,-100.45117,-0.4434333,-123.052734,-0.543206,
1028,25-09-20,3,566.80273,2.7238317,504.07422,2.4224708,
1028,28-09-20,1,53.75,0.2515691,32.35742,0.15144423,
1028,29-09-20,1,-192.75,-0.8936561,-214.22266,-0.9932108,
1028,01-10-20,1,162.84961,0.7445643,140.89648,0.6441924,
1028,05-10-20,1,-111.90039,-0.49275574,-134.55469,-0.5925144,
1028,06-10-20,2,50.45117,0.22088936,4.7441406,0.020773852,
1028,08-10-20,5,422.75586,1.823398,306.46094,1.322514,
1028,09-10-20,1,71.5,0.30354682,47.910156,0.20339827,
1028,12-10-20,1,-244.29883,-1.0120735,-268.31445,-1.1115646,
1028,14-10-20,3,848.0,3.5871105,776.64453,3.2853236,
1028,19-10-20,4,334.05273,1.404363,238.23633,1.0036515,
1028,21-10-20,2,137.60156,0.5571827,88.140625,0.35690317,
1028,27-10-20,1,490.05078,2.0192041,465.5371,1.9181981,
1028,02-11-20,4,1777.3965,7.3635073,1678.752,6.9598255,
1028,06-11-20,1,-123.5,-0.461221,-150.21484,-0.56098986,
1028,09-11-20,3,-672.4004,-2.4598646,-754.05273,-2.7586331,
1028,10-11-20,2,1002.84766,3.5827622,946.36523,3.3809764,
1028,13-11-20,2,154.69922,0.54468846,97.81445,0.34440935,
1028,18-11-20,3,172.05078,0.5794084,82.86328,0.27910915,
1028,20-11-20,1,-22.199219,-0.07588673,-51.441406,-0.17584942,
1028,25-11-20,2,-470.75,-1.5633422,-530.7363,-1.7625631,
1028,04-12-20,3,-98.14844,-0.32956046,-188.04297,-0.6293901,
1028,24-12-20,2,174.20117,0.576172,113.640625,0.37587553,
1028,28-12-20,2,-104.95117,-0.34111893,-166.43164,-0.5409477,
1028,29-12-20,2,-487.75,-1.5589061,-550.0801,-1.7581272,
1028,05-01-21,3,190.54688,0.6017222,95.42578,0.30141574,
1028,12-01-21,6,424.7461,1.3201314,231.16016,0.7194617,
1028,13-01-21,1,-169.44922,-0.5187486,-202.0293,-0.61848855,
1028,29-01-21,1,-404.04883,-1.3057379,-434.79102,-1.4050853,
1028,01-02-21,1,836.10156,2.5918798,803.4258,2.4905863,
1028,05-02-21,1,-531.75,-1.4614317,-567.8672,-1.5606942,
1028,08-02-21,1,-140.30078,-0.3865344,-176.52734,-0.48634005,
1028,15-02-21,2,20.25,0.055129837,-53.226562,-0.14488706,
1028,16-02-21,1,-423.0,-1.1237671,-460.4297,-1.2232051,
1028,24-02-21,2,0.0,0.0,-71.25,-0.199991,
1028,02-03-21,1,-229.5,-0.6434754,-265.05078,-0.74315315,
1028,03-03-21,2,1241.3516,3.4718628,1169.2227,3.2701411,
1028,09-03-21,1,57.25,0.16005903,21.453125,0.059978455,
1028,12-03-21,1,-170.39844,-0.46857813,-206.67969,-0.5683479,
1028,15-03-21,3,950.89844,2.723022,845.64844,2.421672,
1028,23-03-21,2,-177.14844,-0.5225828,-244.85938,-0.7223282,
1028,30-03-21,2,170.44922,0.5057645,102.96094,0.3055113,
1028,06-04-21,1,-241.09961,-0.73238033,-273.9004,-0.83201814,
1028,07-04-21,1,-273.5996,-0.83326995,-306.29883,-0.9328581,
1028,13-04-21,7,684.4551,2.1702921,464.4629,1.4692113,
1028,19-04-21,1,304.8496,0.9844131,273.72852,0.8839176,
1028,20-04-21,1,-230.0,-0.7262852,-261.55273,-0.82592124,
1028,26-04-21,2,46.44922,0.14313805,-18.478516,-0.056937393,
1028,28-04-21,5,2921.5078,8.83578,2754.457,8.331345,
1028,29-04-21,2,-1170.8516,-3.421976,-1238.6992,-3.6202748,
1028,07-05-21,2,-449.35156,-1.353341,-515.53125,-1.5526587,
1028,17-05-21,2,710.5996,2.1728034,644.834,1.9717126,
1028,18-05-21,1,-62.148438,-0.18270758,-96.13281,-0.2826168,
1028,21-05-21,4,711.5469,2.0659745,573.33203,1.6649559,
