S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,05-05-15,3,-80.5,-0.43503356,-135.99051,-0.73480403,
1,21-05-15,1,20.951172,0.11330256,2.4493465,0.013245213,
1,01-09-15,1,-13.701172,-0.08115894,-30.576223,-0.18111807,
1,01-09-16,2,-31.601562,-0.15903139,-71.33797,-0.3589515,
1,05-05-17,2,-118.45117,-0.5217681,-163.80894,-0.72150564,
1,16-08-22,3,-49.253906,-0.12549493,-166.86774,-0.42543077,
1,06-10-15,3,-25.798828,-0.14392918,-78.73868,-0.44386598,
1,16-08-16,1,-26.59961,-0.14052899,-45.51451,-0.24046463,
1,12-01-17,1,-32.30078,-0.17105249,-51.168182,-0.2709658,
1,12-01-18,2,8.8984375,0.035327256,-42.540516,-0.16469239,
1,28-02-19,2,-38.453125,-0.14295281,-92.230255,-0.34288216,
1,12-01-15,2,135.25195,0.7235849,97.800476,0.5232352,
1,26-05-23,5,835.5508,1.911194,616.3271,1.4102495,
1,12-01-16,1,-41.350586,-0.261672,-57.132362,-0.361544,
1,06-10-17,2,-33.347656,-0.13788441,-81.70143,-0.3378063,
1,16-08-18,1,-29.75,-0.106299356,-57.722126,-0.20624812,
1,06-10-16,1,-21.40039,-0.109367855,-40.95704,-0.20931312,
1,28-02-17,2,-45.59961,-0.2208266,-86.84056,-0.4207127,
1,14-09-16,3,-80.64844,-0.40572724,-140.23032,-0.70553493,
1,03-08-18,1,11.300781,0.04098607,-16.27712,-0.059028156,
1,03-08-16,1,-8.900391,-0.047603562,-27.59284,-0.14757417,
1,03-08-17,1,-37.40039,-0.15050064,-62.23234,-0.25042573,
1,19-09-17,3,30.65039,0.122492746,-44.48358,-0.17757946,
1,19-09-16,3,-57.402344,-0.28786036,-117.17354,-0.5877081,
1,19-09-18,1,-56.0,-0.21167062,-82.4282,-0.31156301,
1,01-09-21,1,-59.347656,-0.16128308,-96.11518,-0.26119727,
1,30-09-16,1,-33.30078,-0.17272279,-52.564034,-0.27263862,
1,10-02-17,1,49.04883,0.24311505,28.849152,0.14299576,
1,10-02-15,3,-98.19922,-0.5201494,-154.71027,-0.81988245,
1,09-03-15,3,-550.00195,-2.7998047,-608.6565,-3.0984135,
1,01-09-23,3,208.0039,0.47075036,75.45996,0.17053488,
1,21-05-19,1,-9.550781,-0.031046074,-40.309258,-0.1310284,
1,07-04-15,2,-82.30078,-0.44451195,-119.36633,-0.6442837,
1,21-05-18,1,-35.70117,-0.1386324,-61.435722,-0.2385624,
1,06-10-23,4,236.55469,0.53356874,59.089966,0.13329288,
1,12-01-23,2,-96.24609,-0.22908989,-180.22339,-0.4289829,
1,07-04-17,2,-41.351562,-0.19142708,-84.534134,-0.39133608,
1,06-10-21,1,103.25,0.2730824,65.38927,0.17293909,
1,28-02-20,3,-1268.1992,-4.2164903,-1357.1456,-4.5143847,
1,29-06-15,3,-30.699219,-0.16935745,-84.52887,-0.46927515,
1,29-06-17,1,-39.19922,-0.16859192,-62.43057,-0.26850381,
1,09-03-23,7,-106.35156,-0.25606048,-397.03378,-0.9559357,
1,24-08-17,2,-53.25,-0.21906936,-101.83353,-0.4189617,
1,05-07-16,1,-19.451172,-0.107436545,-37.54625,-0.20738629,
1,04-11-22,1,-46.5,-0.112832725,-87.6882,-0.2127746,
1,05-07-19,3,-176.5,-0.55807877,-271.17056,-0.85779774,
1,29-06-18,2,-7.1015625,-0.026422769,-59.863968,-0.22641437,
1,05-07-17,3,-56.20117,-0.24065062,-126.23183,-0.5405245,
1,05-07-18,3,50.251953,0.18994471,-29.281334,-0.110150024,
1,06-12-18,1,-27.75,-0.10575296,-53.976524,-0.20570022,
1,06-12-19,1,-81.34961,-0.25904757,-112.71229,-0.35891375,
1,06-12-17,1,-15.900391,-0.06347702,-40.941494,-0.16344495,
1,03-06-15,2,-13.201172,-0.07460907,-48.73947,-0.27457607,
1,24-08-22,4,-88.05469,-0.22624879,-243.41052,-0.62613475,
1,24-08-21,4,344.7539,0.9769907,202.56746,0.57648814,
1,31-12-15,3,-22.550781,-0.13299364,-73.39856,-0.43293795,
1,31-12-18,1,3.5996094,0.0132525675,-23.563791,-0.08674931,
1,25-01-23,2,-144.79688,-0.34198356,-229.30952,-0.5418103,
1,30-07-19,1,117.45117,0.40057904,88.0721,0.3003793,
1,30-07-18,5,23.404297,0.08558805,-115.27475,-0.41444993,
1,30-07-15,2,0.69921875,0.004036896,-36.280033,-0.19596116,
1,06-12-22,1,-30.796875,-0.0713768,-73.928375,-0.17134416,
1,06-12-23,3,-167.44922,-0.35680452,-308.1552,-0.6566284,
1,08-11-16,2,-39.75,-0.20516679,-78.47548,-0.40506983,
1,08-11-17,1,9.0,0.035507023,-16.3516,-0.064510584,
1,27-07-23,2,-94.94531,-0.20511934,-187.469,-0.40500784,
1,27-07-22,3,18.75,0.052836448,-90.97513,-0.24718317,
1,27-12-19,1,33.90039,0.105007924,1.5997887,0.004954859,
1,22-09-21,1,-62.0,-0.16682428,-99.13385,-0.2667381,
1,28-12-23,3,-100.05078,-0.20612672,-245.58601,-0.5060154,
1,27-12-18,4,534.89844,2.0118213,426.94293,1.6108096,
1,27-12-17,2,-51.19922,-0.19919609,-102.553375,-0.39910161,
1,17-03-15,3,-93.49805,-0.49356169,-150.3494,-0.79331607,
1,11-06-18,3,16.15039,0.061682574,-63.589943,-0.23835528,
1,30-07-21,2,-36.398438,-0.105233714,-105.55689,-0.30518603,
1,27-07-18,3,-65.75,-0.23803675,-148.55933,-0.53792214,
1,27-07-17,1,-31.298828,-0.12514052,-56.29413,-0.22508112,
1,17-03-17,2,-45.30078,-0.21342981,-87.72348,-0.4133284,
1,22-09-15,3,18.451172,0.10636337,-34.2344,-0.19370078,
1,28-12-17,1,-32.0,-0.12559338,-57.46305,-0.22552995,
1,27-12-23,4,-117.296875,-0.24404839,-309.5243,-0.6439327,
1,27-12-22,3,-178.94531,-0.41696948,-306.92514,-0.71676254,
1,28-12-15,1,70.59961,0.41965252,53.74096,0.31943837,
1,15-04-19,1,-7.75,-0.0257252,-37.872227,-0.12570858,
1,22-09-16,3,236.85156,1.195539,176.66434,0.89494956,
1,28-12-18,2,-71.30078,-0.2621059,-125.66943,-0.46197668,
1,04-01-16,1,-30.898438,-0.18487448,-47.596188,-0.2847908,
1,04-01-19,3,103.09961,0.38259235,21.612602,0.08240363,
1,04-01-18,2,-11.699219,-0.046013527,-62.557323,-0.24598786,
1,11-06-15,1,-25.199219,-0.1439544,-42.69162,-0.24388121,
1,26-07-23,3,-119.40234,-0.25941858,-257.42795,-0.55928415,
1,26-07-17,4,-74.99805,-0.30517372,-173.23816,-0.70501375,
1,18-03-19,1,-16.300781,-0.05522871,-45.807686,-0.15520419,
1,02-02-15,1,250.44922,1.2759371,230.69534,1.1752989,
1,02-02-17,3,148.59961,0.74425256,88.61221,0.44388574,
1,14-10-21,1,-16.652344,-0.04286312,-55.494072,-0.1428469,
1,18-03-15,4,-48.103516,-0.2426165,-124.47461,-0.6424952,
1,26-07-18,3,63.54883,0.23347163,-18.3059,-0.06665498,
1,24-08-16,1,-12.701172,-0.06569668,-32.02787,-0.1656611,
1,24-08-15,1,-56.45117,-0.32681647,-73.696,-0.42664906,
1,13-05-19,1,-11.599609,-0.03999086,-40.599464,-0.13996466,
1,10-12-18,1,-26.898438,-0.102460675,-53.137436,-0.20241416,
1,31-10-23,3,-19.550781,-0.045247838,-148.53862,-0.34522626,
1,06-02-19,2,-21.851562,-0.07981344,-76.59504,-0.27978307,
1,22-12-17,2,20.152344,0.07878709,-31.125034,-0.12124456,
1,05-03-19,1,32.0,0.11814156,4.897848,0.018084658,
1,22-12-15,2,41.29883,0.2448385,7.542576,0.044729985,
1,06-02-18,1,459.25,1.809649,433.64252,1.7087445,
1,06-02-15,1,-36.898438,-0.19462538,-55.838688,-0.29452384,
1,19-02-19,1,-20.5,-0.07624687,-47.3761,-0.17621192,
1,11-04-23,6,-264.60156,-0.6401981,-512.4848,-1.2398864,
1,05-03-15,2,-8.449219,-0.042074017,-47.613697,-0.24206087,
1,01-07-15,1,23.84961,0.12993592,5.4827843,0.029868983,
1,12-03-19,3,46.09961,0.16294625,-38.85414,-0.137133,
1,11-04-18,3,7.8515625,0.031346828,-67.33486,-0.26865757,
1,11-04-17,1,60.34961,0.2799582,38.762787,0.17981328,
1,12-03-15,2,-53.251953,-0.27783602,-91.55638,-0.4776883,
1,11-04-19,3,-120.65039,-0.40513644,-209.90506,-0.7049378,
1,22-12-22,2,-193.5,-0.45499536,-278.43335,-0.65476847,
1,09-11-16,3,-390.50195,-1.9414439,-448.24374,-2.2404852,
1,08-11-23,4,279.90234,0.6448234,105.32109,0.2444992,
1,09-11-15,2,33.15039,0.19705012,-0.69353867,-0.0030588806,
1,22-12-23,2,-120.84766,-0.25300327,-216.47974,-0.45287013,
1,25-08-16,3,-38.851562,-0.20003629,-97.08689,-0.49994147,
1,15-12-15,2,-37.700195,-0.23041242,-70.36625,-0.43029106,
1,25-08-23,4,-142.7539,-0.32183707,-319.7942,-0.7216822,
1,14-12-23,1,-52.44922,-0.10958941,-100.282745,-0.20953149,
1,01-07-19,1,-15.25,-0.048623092,-46.606075,-0.14859685,
1,14-12-22,4,-71.19531,-0.16134919,-247.65723,-0.5612663,
1,25-08-22,3,317.44922,0.8185022,199.47308,0.5180918,
1,25-08-21,2,-83.80078,-0.23520696,-155.02673,-0.4350801,
1,29-11-17,3,-69.84961,-0.2702278,-147.35904,-0.570094,
1,15-12-17,2,322.89844,1.285183,272.13483,1.08454,
1,29-11-18,5,-48.046875,-0.18022121,-181.3037,-0.6801348,
1,09-11-23,2,-210.29688,-0.48153138,-297.53674,-0.681296,
1,09-11-22,3,33.246094,0.07946875,-92.27729,-0.22058047,
1,23-10-23,1,-48.55078,-0.110864624,-92.31937,-0.21080247,
1,07-12-15,2,-36.59961,-0.21560562,-70.53381,-0.41550577,
1,20-03-17,1,-15.900391,-0.075272396,-37.016243,-0.17524108,
1,07-12-18,5,-101.15234,-0.38225353,-233.27953,-0.8820689,
1,07-12-17,2,86.0,0.3442841,35.9875,0.14411509,
1,20-03-19,3,21.201172,0.071306646,-68.01898,-0.2287243,
1,14-12-15,2,-42.25,-0.2575822,-75.03933,-0.4574458,
1,14-12-18,2,-122.59961,-0.45693827,-176.18971,-0.65670884,
1,16-11-22,4,-185.64844,-0.43747875,-355.44107,-0.8372424,
1,14-12-17,1,-19.550781,-0.0779108,-44.634808,-0.17787167,
1,16-11-23,1,-18.449219,-0.04162495,-62.762493,-0.1416024,
1,13-01-23,4,-276.4453,-0.6570719,-444.57776,-1.0567442,
1,23-10-17,1,-53.94922,-0.22380601,-78.027596,-0.32369307,
1,13-01-20,1,75.45117,0.23499292,43.305595,0.13487259,
1,07-12-23,1,106.60156,0.22845624,59.88656,0.12834235,
1,07-12-22,2,-88.35156,-0.20479184,-174.5621,-0.40468132,
1,04-05-17,1,48.95117,0.21609278,26.273846,0.11598292,
1,18-10-17,1,22.798828,0.09379898,-1.5186214,-0.006243623,
1,30-12-22,3,413.09766,0.9630962,283.7005,0.6626208,
1,02-06-23,4,-141.60156,-0.3217211,-317.43256,-0.7215626,
1,23-10-15,3,-26.548828,-0.14806035,-80.29931,-0.44800544,
1,16-11-15,2,-14.699219,-0.0855113,-49.061672,-0.285462,
1,02-06-17,3,-37.998047,-0.16261743,-108.09135,-0.46253806,
1,08-01-19,1,-48.25,-0.17646779,-75.56798,-0.27638096,
1,08-01-16,1,24.350586,0.15078416,8.18911,0.050710887,
1,16-11-17,5,-54.65039,-0.21533248,-181.47952,-0.7152363,
1,19-12-22,1,-105.0,-0.24247491,-148.25095,-0.34235147,
1,19-12-23,3,1.9492188,0.0044937506,-141.57207,-0.295513,
1,13-01-15,1,-22.5,-0.118951954,-41.40395,-0.2188943,
1,13-01-16,2,262.4004,1.6766675,230.79799,1.4758283,
1,13-01-17,2,5.8984375,0.03125084,-31.863815,-0.16876197,
1,30-12-19,2,-85.40039,-0.2631606,-150.31334,-0.46303242,
1,18-10-23,1,-48.902344,-0.111211695,-92.8502,-0.21115032,
1,17-11-22,3,-52.546875,-0.12340608,-180.1213,-0.4233439,
1,20-01-17,1,-7.201172,-0.03788266,-26.206724,-0.13785508,
1,20-01-15,2,54.09961,0.27666453,14.963459,0.076523274,
1,23-12-22,1,-45.652344,-0.10879617,-87.590866,-0.20873933,
1,18-10-21,1,-63.152344,-0.15858816,-102.94237,-0.25850645,
1,20-01-20,1,-78.05078,-0.24933127,-109.31581,-0.3492085,
1,24-11-22,3,-71.5,-0.1664686,-200.31981,-0.46637747,
1,24-11-23,2,-52.398438,-0.119779095,-139.857,-0.31971574,
1,10-04-15,2,-60.34961,-0.32033515,-98.001686,-0.52016604,
1,20-01-23,1,-32.75,-0.07673977,-75.410324,-0.17670101,
1,18-01-23,2,69.453125,0.16439737,-15.024452,-0.035682432,
1,19-12-17,1,-21.09961,-0.08205973,-46.80156,-0.18201569,
1,19-12-18,3,334.0996,1.2379624,252.34561,0.9373508,
1,19-12-19,1,-58.80078,-0.18213005,-91.056435,-0.28203964,
1,08-01-20,1,39.25,0.12608376,8.100273,0.026024852,
1,21-11-23,1,-16.0,-0.036615245,-59.68965,-0.13659202,
1,15-02-19,1,-35.34961,-0.13229693,-62.051838,-0.23222685,
1,23-12-19,1,-40.95117,-0.12623121,-73.3721,-0.22617102,
1,30-10-23,7,415.35547,0.9781519,115.558014,0.27765483,
1,28-10-16,1,0.9003906,0.004611499,-18.624962,-0.09539101,
1,04-03-15,2,666.4004,3.3394527,626.1564,3.1377823,
1,23-12-15,3,-32.447266,-0.19214745,-83.04559,-0.4920474,
1,10-04-19,2,-62.751953,-0.20841128,-122.93953,-0.4083068,
1,10-04-18,1,6.5996094,0.026184715,-18.607744,-0.07382711,
1,10-04-17,3,-35.601562,-0.16554041,-100.077065,-0.46546257,
1,09-01-18,1,-20.951172,-0.081433184,-46.668747,-0.18138945,
1,09-01-17,4,-39.748047,-0.21695107,-112.96113,-0.6168416,
1,17-11-17,1,439.3496,1.7295696,413.7277,1.6287081,
1,02-04-19,1,-35.25,-0.11611284,-65.590775,-0.21605815,
1,09-01-19,3,290.90234,1.0578972,208.25739,0.7573627,
1,02-04-18,1,25.59961,0.10586707,1.4059086,0.00581554,
1,26-09-16,1,-27.300781,-0.13902795,-46.924034,-0.23895742,
1,26-09-17,5,114.84766,0.4768721,-5.782219,-0.023370504,
1,18-01-19,1,-17.800781,-0.06468037,-45.313034,-0.16464609,
1,18-01-18,1,-16.25,-0.06069242,-43.016228,-0.16065982,
1,30-10-15,4,-94.64844,-0.54467916,-164.08057,-0.94440407,
1,13-03-19,2,165.15039,0.5764484,107.82366,0.3761689,
1,13-03-15,1,-37.69922,-0.19884394,-56.63957,-0.2987501,
1,30-10-17,1,-11.050781,-0.04413357,-36.084656,-0.14410882,
1,29-08-18,2,-52.847656,-0.1866331,-109.452934,-0.38654047,
1,28-09-15,3,-119.29883,-0.6869069,-171.33568,-0.98655367,
1,28-09-16,7,-59.097656,-0.3001878,-196.37032,-1.0000516,
1,14-02-17,2,-34.84961,-0.17219448,-75.308334,-0.3721,
1,09-01-20,6,136.75,0.4293665,-55.12784,-0.17084548,
1,14-02-19,2,14.050781,0.05246923,-39.802197,-0.14755176,
1,16-01-20,4,57.84961,0.18214443,-69.707565,-0.21793889,
1,26-10-17,1,-53.0,-0.21137853,-78.047,-0.31127235,
1,26-10-15,1,-26.951172,-0.14994615,-44.9116,-0.24986316,
1,03-04-17,3,-1.4511719,-0.0065267757,-65.95315,-0.30653247,
1,29-08-22,4,-138.40625,-0.3611598,-291.61633,-0.7609711,
1,03-04-19,1,213.34961,0.7044322,182.95618,0.60408276,
1,03-04-18,2,-55.0,-0.22537586,-103.77956,-0.4252621,
1,16-01-19,1,-20.199219,-0.07334915,-47.72757,-0.17331591,
1,16-01-18,4,-121.296875,-0.46584558,-225.38913,-0.86561096,
1,16-01-17,1,-11.699219,-0.06121528,-30.80497,-0.16119342,
1,31-10-17,1,-15.5,-0.061907507,-40.529602,-0.16188316,
1,29-08-23,2,-48.398438,-0.10853543,-137.53809,-0.30848336,
1,21-01-20,2,-62.34961,-0.20105386,-124.33954,-0.40094802,
1,21-01-16,1,342.5,2.3057296,327.47446,2.204578,
1,21-01-15,2,53.75,0.27154928,13.995071,0.07141866,
1,24-11-15,1,-14.701172,-0.0860684,-31.774622,-0.18602987,
1,21-01-19,1,20.699219,0.07512837,-6.862932,-0.024910463,
1,26-10-23,1,-91.44922,-0.21631217,-133.68,-0.3162033,
1,24-11-17,1,-13.75,-0.05332123,-39.530228,-0.15329099,
1,26-10-21,1,-100.44922,-0.24338904,-141.67004,-0.3432718,
1,03-04-23,1,-39.44922,-0.09657375,-80.2783,-0.1965327,
1,21-10-21,1,94.60156,0.23924688,55.012863,0.13913424,
1,13-11-17,3,-132.85156,-0.5200342,-209.40704,-0.8197788,
1,09-07-21,4,-362.9453,-1.0281495,-503.38065,-1.4276526,
1,03-02-20,3,-124.55078,-0.41447318,-214.51216,-0.7142645,
1,07-09-21,1,-42.398438,-0.11665165,-78.723434,-0.21659118,
1,12-06-15,4,-156.25,-0.89747953,-225.60783,-1.2970397,
1,07-09-23,2,11.4453125,0.025724666,-77.61627,-0.17428151,
1,16-02-15,4,-120.15234,-0.619781,-197.58987,-1.0194709,
1,13-11-15,3,-83.25195,-0.49177086,-134.00262,-0.7915325,
1,20-05-19,1,-58.75,-0.1933577,-89.10473,-0.29325706,
1,07-10-15,2,-56.54883,-0.3207582,-91.7794,-0.5205972,
